nama_shelter;alamat_shelter;latitude;longitude;jenis_hewan
Animal Friends Manado Indonesia AFMI;Jl. Ahmad Yani, Sario Tumpaan, Kec. Sario, Kota Manado, Sulawesi Utara;1.467271552928070;124.831013003548000;Kucing
Silver Cat House Manado;Jl. Satal 5, Watutumou, Kec. Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara;1.475039570936440;124.904684133727000;Kucing
Manado Animal Rescue;Jl. Mangga, Sario Kotabaru, Kec. Sario, Kota Manado, Sulawesi Utara;1.467453634378660;124.836408586974000;Lainnya
Adopt Kitten Padang;Kampung Baru Nan XX, Lubuk Begalung, Padang City, West Sumatra 25158;-0.956563679720489;100.419034494176000;Kucing
Nino cathouse;Lubuk Begalung Nan XX, Lubuk Begalung, Padang City, West Sumatra;-0.961129892224353;100.398982672104000;Kucing
Rio BliNz Keeper;Tim, Kubu Dalam Parak Karakah, Kec. Padang Tim., Kota Padang, Sumatera Barat 25126;-0.941233327888656;100.388656781046000;Lainnya
Kura-Kura Minang;Kubu Dalam Parak Karakah, Padang Timur, Padang City, West Sumatra 25126;-0.941228250741535;100.388669811909000;Lainnya
Stray Cats Rescue Padang;Perumahan villa Fakri Sindo 3 tepi rel no.15 082363769357, Limau Manis Sel., Kec. Pauh, Kota Padang, Sumatera Barat 25164;-0.940160118152112;100.462360141088000;Kucing
@DerenCathouse Room I;Jl. Sawah Lua No.II, Kalumbuk, Kec. Kuranji, Kota Padang, Sumatera Barat 25173;-0.900324549985654;100.384945014898000;Kucing
Sugar glider Farm;Jl. Payakumbuh I No.619, Surau Gadang, Kec. Nanggalo, Kota Padang, Sumatera Barat 25173;-0.892729272033132;100.368418447384000;Lainnya
Laras Satwa Petshop Padang Panjang;Jl. Ahmad Yani, Ekor Lubuk, Kec. Padang Panjang Tim., Kota Padang Panjang, Sumatera Barat 27112;-0.473740664879003;100.423894937701000;Kucing
Pinta Petshop Padang Panjang;Jl. Imam Bonjol No.1, Ps. Baru, Kec. Padang Panjang Bar., Kota Padang Panjang, Sumatera Barat 27118;-0.464336326206140;100.399859241378000;Kucing
BINTANG PET SHOP ALAHAN PANJANG;Jl. Gajah Mada, Alahan Panjang, Kec. Lembah Gumanti, Kabupaten Solok, Sumatera Barat 27371;-1.065643092079350;100.784894057393000;Kucing
